Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
1D CNN,1.0,1.0,1.0,1.0,1.0
Random Forest,0.9964912280701754,1.0,0.6,0.75,0.9350442477876106
Tuned Random Forest,0.9964912280701754,1.0,0.6,0.75,0.9228318584070796
Voting Ensemble,0.9964912280701754,1.0,0.6,0.75,0.912920353982301
XGBoost,0.9964912280701754,1.0,0.6,0.75,0.9058407079646018
Support Vector Machine,0.9894736842105263,0.4444444444444444,0.8,0.5714285714285714,0.8782300884955753
Logistic Regression,0.8596491228070176,0.037037037037037035,0.6,0.06976744186046512,0.6973451327433628
